City,Lat,Long,Temp,Max Temp,Min Temp,Humidity,Clouds,Wind,Country,Datetime
vila do maio,15.1333,-23.2167,26.44,26.44,26.44,82,100,5.7,CV,1663406526
punta arenas,-53.15,-70.9167,2.06,2.06,1.73,87,40,3.09,CL,1663406526
tuatapere,-46.1333,167.6833,5.05,5.05,5.05,87,98,2.23,NZ,1663406526
rikitea,-23.1203,-134.9692,22.24,22.24,22.24,78,0,7.05,PF,1663406526
gomel,52.4345,30.9754,15.0,16.58,13.8,66,0,5.0,BY,1663406527
rio grande,-32.035,-52.0986,12.75,12.75,12.75,83,2,5.57,BR,1663406527
iqaluit,63.7506,-68.5145,1.5,1.85,1.5,87,75,2.57,CA,1663406527
zhigansk,66.7697,123.3711,3.1,3.1,3.1,68,99,6.2,RU,1663406527
lamar,33.6668,-95.5836,21.53,22.58,20.95,79,0,3.6,US,1663406529
ushuaia,-54.8,-68.3,2.81,2.81,2.81,75,75,8.75,AR,1663406529
new norfolk,-42.7826,147.0587,9.83,12.18,9.39,73,100,0.45,AU,1663406529
hobart,-42.8794,147.3294,11.89,12.37,9.59,71,75,5.14,AU,1663406308
tasiilaq,65.6145,-37.6368,4.09,4.09,4.09,97,100,5.96,GL,1663406529
rivera,-30.9053,-55.5508,9.77,9.77,9.77,95,84,3.89,UY,1663406529
tiksi,71.6872,128.8694,2.01,2.01,2.01,98,100,0.71,RU,1663406529
pekan,3.4836,103.3996,32.06,32.06,32.06,70,87,2.88,MY,1663406530
lebu,-37.6167,-73.65,6.6,6.6,6.6,89,100,8.58,CL,1663406530
mataura,-46.1927,168.8643,8.04,8.04,8.04,91,100,1.48,NZ,1663406530
mar del plata,-38.0023,-57.5575,13.41,13.94,12.01,90,0,11.18,AR,1663406530
vestmanna,62.1564,-7.1664,8.51,8.51,8.51,87,100,0.0,FO,1663406530
nanortalik,60.1432,-45.2371,8.02,8.02,8.02,80,100,3.66,GL,1663406530
bethel,41.3712,-73.414,13.12,15.93,10.72,85,100,0.0,US,1663406530
waingapu,-9.6567,120.2641,29.52,29.52,29.52,54,40,5.0,ID,1663406531
ozimek,50.6794,18.2137,11.31,13.53,11.11,71,100,4.82,PL,1663406531
grootfontein,-19.5667,18.1167,27.76,27.76,27.76,14,0,1.03,NA,1663406531
los llanos de aridane,28.6585,-17.9182,22.29,23.86,22.29,84,20,2.57,ES,1663406531
tommot,58.9564,126.2925,9.03,9.03,9.03,65,100,0.17,RU,1663406531
barra do corda,-5.5,-45.25,21.62,21.62,21.62,95,48,1.39,BR,1663406531
georgetown,5.4112,100.3354,30.94,31.64,29.97,74,40,3.6,MY,1663406331
fortuna,40.5982,-124.1573,12.64,13.29,11.72,87,65,0.84,US,1663406531
dudinka,69.4058,86.1778,4.79,4.79,4.79,53,100,4.52,RU,1663406532
garowe,8.4054,48.4845,33.61,33.61,33.61,32,10,9.72,SO,1663406532
qinggang,46.6833,126.0833,18.67,18.67,18.67,73,96,4.19,CN,1663406532
port alfred,-33.5906,26.891,18.99,18.99,18.99,75,100,1.79,ZA,1663406532
hilo,19.7297,-155.09,22.07,28.49,21.85,87,0,2.24,US,1663406532
atuona,-9.8,-139.0333,24.82,24.82,24.82,73,15,8.97,PF,1663406532
dhidhdhoo,6.8833,73.1,27.55,27.55,27.55,73,39,4.38,MV,1663406532
vaini,-21.2,-175.2,24.49,24.49,24.49,81,10,4.8,TO,1663406533
busselton,-33.65,115.3333,15.77,15.77,15.77,65,35,4.39,AU,1663405964
tucuman,-26.8241,-65.2226,8.0,8.0,8.0,71,3,2.06,AR,1663406533
avarua,-21.2078,-159.775,23.03,23.03,23.03,78,40,3.09,CK,1663406533
kollo,13.3043,2.339,27.24,27.24,27.24,65,92,5.07,NE,1663406533
barrow,71.2906,-156.7887,1.01,1.01,1.01,86,100,12.86,US,1663406533
cabo san lucas,22.8909,-109.9124,28.29,28.62,25.1,75,96,3.24,MX,1663406533
thompson,55.7435,-97.8558,7.09,7.09,7.09,93,20,2.06,CA,1663406533
qaanaaq,77.484,-69.3632,-4.07,-4.07,-4.07,71,27,3.38,GL,1663406533
kenai,60.5544,-151.2583,9.45,10.05,9.03,96,20,4.12,US,1663406534
ancud,-41.8697,-73.8203,2.9,2.9,2.9,78,0,2.7,CL,1663406534
lata,40.1629,-8.3327,21.06,21.07,20.6,55,98,1.35,PT,1663406535
san patricio,28.017,-97.5169,26.35,30.47,23.4,78,0,2.95,US,1663406535
albany,42.6001,-73.9662,10.3,12.02,7.41,85,82,1.25,US,1663406535
chuy,-33.6971,-53.4616,11.76,11.76,11.76,94,94,2.73,UY,1663406535
kieta,-6.2167,155.6333,26.64,26.64,26.64,82,82,2.71,PG,1663406535
mirskoy,45.5439,40.3998,25.77,25.77,25.77,54,100,3.63,RU,1663406535
cape town,-33.9258,18.4232,15.84,17.28,14.95,71,100,3.09,ZA,1663406243
chokurdakh,70.6333,147.9167,2.58,2.58,2.58,64,100,2.5,RU,1663406535
kalach-na-donu,48.691,43.5264,23.45,23.45,23.45,61,100,3.9,RU,1663406536
sao jose da coroa grande,-8.8978,-35.1478,22.33,22.33,22.33,79,17,1.87,BR,1663406536
puerto ayora,-0.7393,-90.3518,18.64,18.64,18.64,89,2,3.29,EC,1663406536
ankang,32.68,109.0172,20.16,20.16,20.16,94,100,1.09,CN,1663406536
butaritari,3.0707,172.7902,27.82,27.82,27.82,70,12,5.94,KI,1663406536
tarancon,40.0085,-3.0073,21.31,21.31,21.31,48,17,1.97,ES,1663406536
